"","Precinct","YEAR2","MaxForce","ViolentCrimeFrequency","FelonyFrequency","CrimeSeverity","ForceSeverity","MajorityWhite","MajorityHispanic","MajorityBlack","IsNight","HistoricalDanger","ActualDanger","Arrests","ExplanationGiven","StopDuration","ObsDuration","SQFPropBlack","SQFPropHispanic","pct_blk","pct_hisp"
"208",112,2017,0.113207547169811,0.433962264150943,0.39622641509434,3.09433962264151,2.13207547169811,"Y","N","N",0.452830188679245,0.207547169811321,0.0943396226415094,0.245283018867925,1,19.9811320754717,63.8679245283019,0.339622641509434,0.339622641509434,0.0289105023645936,0.134987061657892
"209",112,2018,0.0921052631578947,0.210526315789474,0.526315789473684,2.68421052631579,2.01315789473684,"Y","N","N",0.421052631578947,0.276315789473684,0.105263157894737,0.460526315789474,1,15.2631578947368,2.88157894736842,0.302631578947368,0.342105263157895,0.0289105023645936,0.134987061657892
"210",112,2019,0.220338983050847,0.169491525423729,0.38135593220339,2.27966101694915,2.28813559322034,"Y","N","N",0.457627118644068,0.161016949152542,0.127118644067797,0.542372881355932,0.974576271186441,11.8474576271186,3.77118644067797,0.26271186440678,0.347457627118644,0.0289105023645936,0.134987061657892
"211",113,2017,0.324561403508772,0.245614035087719,0.596491228070175,2.93859649122807,2.41228070175439,"N","N","Y",0.456140350877193,0.508771929824561,0.236842105263158,0.175438596491228,1,13.5701754385965,266.122807017544,0.964912280701754,0.0350877192982456,0.873647321279925,0.0814354210368595
"212",113,2018,0.247524752475248,0.336633663366337,0.504950495049505,3.03960396039604,2.25742574257426,"N","N","Y",0.584158415841584,0.445544554455446,0.138613861386139,0.168316831683168,1,15.6633663366337,2.26732673267327,0.891089108910891,0.0495049504950495,0.873647321279925,0.0814354210368595
"213",113,2019,0.265193370165746,0.292817679558011,0.447513812154696,2.78453038674033,2.29834254143646,"N","N","Y",0.541436464088398,0.480662983425414,0.0939226519337017,0.209944751381215,0.972375690607735,16.4806629834254,2.70165745856354,0.906077348066298,0.0386740331491713,0.873647321279925,0.0814354210368595
"214",114,2017,0.174050632911392,0.19620253164557,0.620253164556962,2.85443037974684,2.20253164556962,"Y","N","N",0.566455696202532,0.253164556962025,0.113924050632911,0.338607594936709,1,11.6329113924051,12.4525316455696,0.509493670886076,0.35126582278481,0.116059891697819,0.268491758973398
"215",114,2018,0.16600790513834,0.245059288537549,0.478260869565217,2.78656126482213,2.22529644268775,"Y","N","N",0.660079051383399,0.33596837944664,0.185770750988142,0.490118577075099,0.992094861660079,11.9565217391304,2.00790513833992,0.490118577075099,0.316205533596838,0.116059891697819,0.268491758973398
"216",114,2019,0.202479338842975,0.227272727272727,0.528925619834711,2.74793388429752,2.25206611570248,"Y","N","N",0.62396694214876,0.384297520661157,0.144628099173554,0.289256198347107,0.942148760330578,9.99173553719008,1.36776859504132,0.359504132231405,0.400826446280992,0.116059891697819,0.268491758973398
"217",115,2017,0.2265625,0.328125,0.4609375,2.9296875,2.234375,"N","Y","N",0.6015625,0.3984375,0.140625,0.3046875,0.984375,19.609375,2.5625,0.21875,0.7265625,0.0798479973889122,0.641744766167762
"218",115,2018,0.246987951807229,0.397590361445783,0.481927710843373,3.18072289156627,2.27710843373494,"N","Y","N",0.656626506024096,0.313253012048193,0.144578313253012,0.325301204819277,0.975903614457831,15.6325301204819,24.3132530120482,0.192771084337349,0.686746987951807,0.0798479973889122,0.641744766167762
