"","Precinct","MaxForce","ViolentCrimeFrequency","FelonyFrequency","CrimeSeverity","ForceSeverity","MajorityWhite","MajorityHispanic","MajorityBlack","IsNight","HistoricalDanger","ActualDanger","Arrests","ExplanationGiven","StopDuration","ObsDuration","StoppedMajorityRace"
"19",30,0.21,0.35,0.43,2.92333333333333,2.24333333333333,"N","Y","N",0.643333333333333,0.283333333333333,0.116666666666667,0.256666666666667,0.98,8.29666666666667,9.39666666666667,"BLACK"
"20",32,0.202360876897133,0.284991568296796,0.534569983136594,2.95784148397976,2.23777403035413,"N","N","Y",0.610455311973018,0.3035413153457,0.236087689713322,0.3929173693086,0.974704890387858,9.34064080944351,8.54974704890388,"BLACK"
"21",33,0.158458244111349,0.252676659528908,0.576017130620985,2.92077087794433,2.17987152034261,"N","Y","N",0.599571734475375,0.269807280513919,0.115631691648822,0.267665952890792,0.993576017130621,10.6167023554604,11.0535331905782,"HISPANIC"
"22",34,0.19672131147541,0.359016393442623,0.480327868852459,3.0655737704918,2.21803278688525,"N","Y","N",0.659016393442623,0.421311475409836,0.165573770491803,0.245901639344262,0.991803278688525,10.0786885245902,3.39672131147541,"HISPANIC"
"23",40,0.205818965517241,0.247844827586207,0.594827586206897,2.97521551724138,2.23275862068966,"N","Y","N",0.636853448275862,0.341594827586207,0.206896551724138,0.329741379310345,0.979525862068966,8.67456896551724,5.08620689655172,"BLACK"
"24",41,0.241992882562278,0.281138790035587,0.558718861209964,2.98220640569395,2.27046263345196,"N","Y","N",0.686832740213523,0.348754448398576,0.224199288256228,0.277580071174377,0.97153024911032,10.9893238434164,1.63345195729537,"HISPANIC"
"25",42,0.19741935483871,0.203870967741935,0.641290322580645,2.92645161290323,2.23096774193548,"N","Y","N",0.665806451612903,0.330322580645161,0.268387096774194,0.330322580645161,0.974193548387097,8.87096774193548,1.70709677419355,"BLACK"
"26",43,0.184993531694696,0.275549805950841,0.553686934023286,2.97283311772316,2.1901681759379,"N","Y","N",0.623544631306598,0.344113842173351,0.173350582147477,0.289780077619664,0.985769728331177,9.6869340232859,1.82018111254851,"BLACK"
"27",44,0.221448467966574,0.249303621169916,0.616991643454039,3.01114206128134,2.25208913649025,"N","Y","N",0.654596100278552,0.402506963788301,0.227019498607242,0.303621169916435,0.976323119777159,11.025069637883,3.74094707520891,"HISPANIC"
"28",45,0.213375796178344,0.388535031847134,0.439490445859873,3.05414012738854,2.2484076433121,"Y","N","N",0.538216560509554,0.286624203821656,0.111464968152866,0.187898089171975,0.977707006369427,12.9012738853503,1.67834394904459,"BLACK"
"29",46,0.169426751592357,0.317197452229299,0.510828025477707,3.00509554140127,2.18216560509554,"N","Y","N",0.620382165605096,0.335031847133758,0.184713375796178,0.305732484076433,0.98343949044586,8.80636942675159,7.61656050955414,"BLACK"
"30",47,0.23956043956044,0.316483516483516,0.481318681318681,2.92967032967033,2.25054945054945,"N","N","Y",0.610989010989011,0.397802197802198,0.171428571428571,0.325274725274725,0.98021978021978,12.2351648351648,11.5736263736264,"BLACK"
"31",48,0.236173393124066,0.284005979073244,0.535127055306427,2.94768310911809,2.30044843049327,"N","Y","N",0.612855007473842,0.394618834080717,0.183856502242152,0.224215246636771,0.994020926756353,11.3198804185351,22.8699551569507,"BLACK"
"32",49,0.166355140186916,0.274766355140187,0.442990654205607,2.73084112149533,2.17943925233645,"N","N","N",0.560747663551402,0.31588785046729,0.170093457943925,0.347663551401869,0.979439252336449,8.9588785046729,11.1233644859813,"BLACK"
"33",50,0.276041666666667,0.234375,0.458333333333333,2.625,2.34895833333333,"Y","N","N",0.614583333333333,0.317708333333333,0.177083333333333,0.255208333333333,0.9375,9.13020833333333,5.828125,"HISPANIC"
"34",52,0.157894736842105,0.307692307692308,0.534412955465587,3.02159244264507,2.15924426450742,"N","Y","N",0.632928475033738,0.371120107962213,0.211875843454791,0.226720647773279,0.991902834008097,8.90148448043185,4.21862348178138,"HISPANIC"
"35",60,0.204355108877722,0.314907872696817,0.490787269681742,2.93802345058626,2.23953098827471,"Y","N","N",0.591289782244556,0.294807370184255,0.154103852596315,0.400335008375209,0.97822445561139,10.6616415410385,9.91624790619765,"BLACK"
"36",61,0.268867924528302,0.290094339622642,0.389150943396226,2.66981132075472,2.31603773584906,"Y","N","N",0.617924528301887,0.283018867924528,0.089622641509434,0.35377358490566,0.981132075471698,13.2617924528302,6.44575471698113,"BLACK"
"37",62,0.128125,0.34375,0.3625,2.778125,2.15,"Y","N","N",0.64375,0.309375,0.1875,0.434375,0.996875,12.675,38.209375,"WHITE"
"38",63,0.17304189435337,0.278688524590164,0.46448087431694,2.79963570127505,2.17486338797814,"N","N","N",0.608378870673953,0.331511839708561,0.0983606557377049,0.260473588342441,0.92896174863388,11.7340619307832,7.32604735883424,"BLACK"
"39",66,0.142857142857143,0.229813664596273,0.453416149068323,2.62111801242236,2.12422360248447,"Y","N","N",0.577639751552795,0.217391304347826,0.0807453416149068,0.167701863354037,0.987577639751553,13.6894409937888,1.77639751552795,"HISPANIC"
"40",67,0.246462264150943,0.23938679245283,0.567216981132076,2.86792452830189,2.30306603773585,"N","N","Y",0.607311320754717,0.360849056603774,0.148584905660377,0.251179245283019,0.983490566037736,11.6816037735849,11.0412735849057,"BLACK"
"41",68,0.178378378378378,0.205405405405405,0.394594594594595,2.40540540540541,2.20540540540541,"Y","N","N",0.454054054054054,0.227027027027027,0.145945945945946,0.416216216216216,0.978378378378378,11.9783783783784,9.12972972972973,"WHITE"
"42",69,0.216962524654832,0.234714003944773,0.47534516765286,2.69033530571992,2.22287968441815,"N","N","Y",0.58974358974359,0.264299802761341,0.134122287968442,0.297830374753452,0.978303747534517,11.4240631163708,12.5404339250493,"BLACK"
"43",70,0.157894736842105,0.260387811634349,0.515235457063712,2.83379501385042,2.18282548476454,"N","N","N",0.537396121883656,0.254847645429363,0.119113573407202,0.293628808864266,0.980609418282548,14.4487534626039,20.4127423822715,"BLACK"
"44",71,0.172638436482085,0.245928338762215,0.48371335504886,2.76547231270358,2.16449511400651,"N","N","Y",0.550488599348534,0.244299674267101,0.118892508143322,0.203583061889251,0.98371335504886,10.1449511400651,11.4039087947883,"BLACK"
"45",72,0.339250493096647,0.479289940828402,0.222879684418146,2.90927021696252,2.34319526627219,"N","N","N",0.566074950690335,0.368836291913215,0.108481262327416,0.339250493096647,0.986193293885602,13.6173570019724,13.7199211045365,"HISPANIC"
"46",73,0.192612137203166,0.237467018469657,0.580474934036939,2.90369393139842,2.20052770448549,"N","N","Y",0.598944591029024,0.308707124010554,0.201846965699208,0.267810026385224,0.968337730870712,10.4327176781003,298.709762532982,"BLACK"
"47",75,0.216322517207473,0.219272369714848,0.620452310717797,2.94985250737463,2.26647000983284,"N","N","Y",0.668633235004916,0.336283185840708,0.192723697148476,0.176991150442478,0.968534906588004,11.6558505408063,9.03638151425762,"BLACK"
"48",76,0.219178082191781,0.301369863013699,0.407534246575342,2.73630136986301,2.21575342465753,"Y","N","N",0.486301369863014,0.26027397260274,0.133561643835616,0.386986301369863,0.972602739726027,13.3047945205479,15.7602739726027,"BLACK"
"49",77,0.187826086956522,0.220869565217391,0.561739130434783,2.80869565217391,2.20173913043478,"N","N","Y",0.645217391304348,0.314782608695652,0.139130434782609,0.269565217391304,0.965217391304348,8.84521739130435,10.2260869565217,"BLACK"
"50",78,0.213450292397661,0.242690058479532,0.423976608187135,2.58187134502924,2.22222222222222,"Y","N","N",0.56140350877193,0.210526315789474,0.12280701754386,0.318713450292398,0.982456140350877,12.1169590643275,7.78654970760234,"BLACK"
"51",79,0.192520775623269,0.235457063711911,0.57617728531856,2.89750692520776,2.19390581717452,"N","N","Y",0.627423822714681,0.336565096952909,0.168975069252078,0.207756232686981,0.990304709141274,10.5817174515235,18.9819944598338,"BLACK"
"52",81,0.254079254079254,0.249417249417249,0.610722610722611,2.98834498834499,2.29370629370629,"N","N","Y",0.666666666666667,0.324009324009324,0.135198135198135,0.235431235431235,0.983682983682984,10.2051282051282,5.28205128205128,"BLACK"
"53",83,0.201856148491879,0.278422273781903,0.535962877030162,2.92807424593968,2.24593967517401,"N","Y","N",0.607888631090487,0.329466357308585,0.109048723897912,0.220417633410673,0.983758700696056,11.7679814385151,9.41531322505801,"BLACK"
"54",84,0.225382932166302,0.358862144420131,0.323851203501094,2.75054704595186,2.22975929978118,"Y","N","N",0.549234135667396,0.25164113785558,0.113785557986871,0.301969365426696,0.991247264770241,14.3873085339168,20.0525164113786,"BLACK"
"55",88,0.222222222222222,0.333333333333333,0.437908496732026,2.88888888888889,2.2156862745098,"N","N","N",0.522875816993464,0.264705882352941,0.124183006535948,0.287581699346405,0.970588235294118,11.6013071895425,9.34313725490196,"BLACK"
"56",90,0.199556541019956,0.188470066518847,0.545454545454545,2.67184035476718,2.2039911308204,"Y","N","N",0.543237250554324,0.217294900221729,0.110864745011086,0.24390243902439,0.982261640798226,14.649667405765,11.5587583148559,"BLACK"
"57",94,0.18359375,0.30078125,0.4453125,2.8046875,2.1640625,"Y","N","N",0.56640625,0.171875,0.109375,0.33984375,0.96875,13.03125,11.1171875,"BLACK"
"58",100,0.161616161616162,0.303030303030303,0.441077441077441,2.8013468013468,2.16498316498316,"Y","N","N",0.501683501683502,0.2996632996633,0.144781144781145,0.346801346801347,0.962962962962963,11.2356902356902,2.09090909090909,"BLACK"
"59",101,0.246648793565684,0.273458445040214,0.576407506702413,2.97319034852547,2.30026809651475,"N","N","Y",0.587131367292225,0.533512064343164,0.123324396782842,0.313672922252011,0.967828418230563,11.0670241286863,18.0670241286863,"BLACK"
"60",102,0.264840182648402,0.310502283105023,0.474885844748858,2.89041095890411,2.32420091324201,"N","N","N",0.602739726027397,0.36986301369863,0.146118721461187,0.315068493150685,0.990867579908676,15.283105022831,2.73059360730594,"BLACK"
"61",103,0.232358003442341,0.321858864027539,0.514629948364888,3.02925989672978,2.28055077452668,"N","N","N",0.538726333907057,0.44578313253012,0.110154905335628,0.156626506024096,0.989672977624785,11.7710843373494,6.67986230636833,"BLACK"
"62",104,0.166666666666667,0.233333333333333,0.443333333333333,2.61666666666667,2.18333333333333,"Y","N","N",0.59,0.303333333333333,0.106666666666667,0.33,0.99,12.2566666666667,1.93,"HISPANIC"
"63",105,0.253164556962025,0.229957805907173,0.525316455696203,2.75316455696203,2.32278481012658,"N","N","Y",0.571729957805907,0.356540084388186,0.107594936708861,0.234177215189873,0.993670886075949,12.5527426160338,5.18565400843882,"BLACK"
"64",106,0.178947368421053,0.234210526315789,0.576315789473684,2.86315789473684,2.21578947368421,"N","N","N",0.605263157894737,0.455263157894737,0.123684210526316,0.244736842105263,0.989473684210526,10.0736842105263,3.25526315789474,"BLACK"
"65",107,0.18452380952381,0.288690476190476,0.482142857142857,2.85416666666667,2.18154761904762,"N","N","N",0.467261904761905,0.261904761904762,0.104166666666667,0.264880952380952,0.973214285714286,19.1607142857143,8.09821428571429,"BLACK"
"66",108,0.278761061946903,0.314159292035398,0.455752212389381,2.86725663716814,2.31858407079646,"N","N","N",0.530973451327434,0.29646017699115,0.128318584070796,0.336283185840708,0.973451327433628,14.146017699115,2.54424778761062,"HISPANIC"
"67",109,0.227777777777778,0.330555555555556,0.433333333333333,2.86666666666667,2.26666666666667,"N","N","N",0.525,0.333333333333333,0.102777777777778,0.258333333333333,0.969444444444444,14.1805555555556,7.87222222222222,"HISPANIC"
"68",110,0.184444444444444,0.446666666666667,0.371111111111111,3.12,2.20888888888889,"N","Y","N",0.575555555555556,0.357777777777778,0.18,0.453333333333333,0.955555555555556,12.3822222222222,31.9444444444444,"HISPANIC"
"69",111,0.16734693877551,0.269387755102041,0.493877551020408,2.83673469387755,2.19591836734694,"Y","N","N",0.497959183673469,0.204081632653061,0.106122448979592,0.326530612244898,1,12.4530612244898,2.03265306122449,"WHITE"
"70",112,0.157894736842105,0.238866396761134,0.42914979757085,2.57894736842105,2.17004048582996,"Y","N","N",0.445344129554656,0.206477732793522,0.11336032388664,0.453441295546559,0.987854251012146,14.6437246963563,16.3927125506073,"HISPANIC"
"71",113,0.277777777777778,0.29040404040404,0.505050505050505,2.89393939393939,2.32070707070707,"N","N","Y",0.527777777777778,0.47979797979798,0.146464646464646,0.189393939393939,0.987373737373737,15.4343434343434,78.4242424242424,"BLACK"
"72",114,0.180024660912454,0.220715166461159,0.548705302096178,2.80147965474723,2.22441430332922,"Y","N","N",0.612823674475956,0.318125770653514,0.145499383477189,0.3711467324291,0.980271270036991,11.2441430332922,5.8865598027127,"BLACK"
"73",115,0.226457399103139,0.349775784753363,0.459641255605381,2.99103139013453,2.23542600896861,"N","Y","N",0.618834080717489,0.295964125560538,0.150224215246637,0.356502242152466,0.973094170403587,15.1973094170404,10.2690582959641,"HISPANIC"
"74",120,0.225733634311512,0.252821670428894,0.521444695259594,2.82844243792325,2.25282167042889,"Y","N","N",0.562076749435666,0.255079006772009,0.155756207674944,0.349887133182844,0.981941309255079,11.7494356659142,3.60948081264108,"BLACK"
"75",121,0.22020725388601,0.305699481865285,0.44300518134715,2.83937823834197,2.24093264248705,"Y","N","N",0.479274611398964,0.33419689119171,0.137305699481865,0.316062176165803,0.979274611398964,11.9870466321244,55.5544041450777,"BLACK"
"76",122,0.186486486486486,0.224324324324324,0.440540540540541,2.56486486486486,2.22702702702703,"Y","N","N",0.548648648648649,0.245945945945946,0.072972972972973,0.402702702702703,0.997297297297297,15.2486486486486,1.92702702702703,"WHITE"
"77",123,0.179775280898876,0.179775280898876,0.438202247191011,2.46629213483146,2.2247191011236,"Y","N","N",0.567415730337079,0.224719101123595,0.0898876404494382,0.303370786516854,0.98314606741573,13.2640449438202,2.42134831460674,"WHITE"
